utility_id,utility_name,state,fiscal_year,total_revenue,total_expenses,net_income,total_assets,total_liabilities,total_equity,operating_margin,debt_to_assets
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2019,681030829.1,535055746.6,145975082.5,7657106531.69,4091819518.45,3565287013.23,21.43,53.44
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2018,650936524.07,504079139.92,146857384.15,9002516290.34,4783125003.85,4219391286.49,22.56,53.13
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2017,622172066.61,519161560.08,103010506.53,6289149347.17,2562708388.06,3726440959.11,16.56,40.75
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2016,594678691.64,490890170.6,103788521.04,6906384001.92,2846543298.71,4059840703.2,17.45,41.22
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2015,568400230.85,461495041.29,106905189.56,5245004928.67,2613501096.56,2631503832.11,18.81,49.83
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2024,207517426.03,156210420.64,51307005.39,2247870376.67,1298054706.88,949815669.8,24.72,57.75
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2023,205108184.94,164322403.89,40785781.05,1920158501.85,770815343.84,1149343158.0,19.89,40.14
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2022,202726914.73,160309774.1,42417140.63,2439449896.35,1300146738.01,1139303158.33,20.92,53.3
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2021,200373290.65,162217355.89,38155934.75,2704384194.67,1162868428.01,1541515766.66,19.04,43.0
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2020,198046991.73,149385374.5,48661617.23,2217543674.18,1178446437.68,1039097236.5,24.57,53.14
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2019,195747700.73,174641847.4,21105853.33,1938164077.65,945708054.72,992456022.93,10.78,48.79
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2018,193475104.11,153192643.24,40282460.87,2787594628.68,1534493941.19,1253100687.49,20.82,55.05
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2017,191228891.93,147582362.52,43646529.41,2372958761.81,1016455637.42,1356503124.39,22.82,42.83
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2016,189008757.88,168308533.55,20700224.33,2106749553.64,1117281356.24,989468197.4,10.95,53.03
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,2015,186814399.21,162361569.99,24452829.22,1732044160.38,739040112.25,993004048.13,13.09,42.67
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2024,113020555.98,97160917.92,15859638.06,1394814608.6,679751320.54,715063288.06,14.03,48.73
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2023,110050453.94,94799925.37,15250528.57,1504844433.49,645452901.0,859391532.49,13.86,42.89
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2022,107158404.12,93357912.87,13800491.25,1357061643.38,561308370.97,795753272.42,12.88,41.36
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2021,104342355.38,81851595.39,22490759.99,1373486773.98,681325773.13,692161000.85,21.55,49.61
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2020,101600310.45,81218400.07,20381910.38,1128076926.91,505728679.12,622348247.79,20.06,44.83
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2019,98930324.56,76977729.74,21952594.82,1295376172.0,712025849.69,583350322.31,22.19,54.97
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2018,96330504.06,78504264.65,17826239.41,1221492798.22,600173578.67,621319219.55,18.51,49.13
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2017,93799005.04,70926946.36,22872058.68,1222887677.97,647548241.51,575339436.46,24.38,52.95
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2016,91334032.06,72456000.96,18878031.1,1051244998.3,563004462.67,488240535.63,20.67,53.56
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,2015,88933836.87,73711946.69,15221890.18,887031926.91,431442372.23,455589554.68,17.12,48.64
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2024,388089646.52,345743548.39,42346098.13,4628064479.77,2633643130.55,1994421349.21,10.91,56.91
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2023,382583674.76,304989623.19,77594051.57,5520451908.29,2578491386.4,2941960521.88,20.28,46.71
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2022,377155818.26,329269032.4,47886785.86,3522334732.8,1817343106.27,1704991626.53,12.7,51.59
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2021,371804968.78,279218403.28,92586565.5,3946108150.42,1585725160.63,2360382989.79,24.9,40.18
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2020,366530033.78,277603111.17,88926922.61,3026989018.65,1233978150.51,1793010868.14,24.26,40.77
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2019,361329936.24,307493601.13,53836335.11,5303259715.16,2330040252.96,2973219462.2,14.9,43.94
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2018,356203614.42,286026899.66,70176714.75,4598252979.53,1895455734.06,2702797245.47,19.7,41.22
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2017,351150021.62,277402926.81,73747094.81,3863143868.22,1943054675.19,1920089193.04,21.0,50.3
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2016,346168126.02,305269405.08,40898720.94,4060667840.44,2212128200.71,1848539639.73,11.81,54.48
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,2015,341256910.42,305231411.68,36025498.73,4451967891.68,2331826385.74,2120141505.93,10.56,52.38
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2024,90494275.89,68085105.3,22409170.59,1063947123.41,458781545.8,605165577.6,24.76,43.12
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2023,86621041.4,70934994.34,15686047.05,1013447560.24,577972030.11,435475530.13,18.11,57.03
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2022,82913584.74,71591283.52,11322301.22,1007890764.49,439380087.4,568510677.09,13.66,43.59
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2021,79364810.49,71370542.65,7994267.84,799016960.76,363495568.1,435521392.66,10.07,45.49
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2020,75967926.89,63351583.57,12616343.32,1067888995.09,623708358.87,444180636.23,16.61,58.41
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2019,72716432.89,64253216.36,8463216.53,961562408.14,406291678.45,555270729.69,11.64,42.25
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2018,69604105.69,54166905.56,15437200.13,571608261.25,266586676.94,305021584.31,22.18,46.64
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2017,66624988.83,50720667.09,15904321.75,622552900.87,309461121.39,313091779.48,23.87,49.71
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2016,63773380.79,49436170.7,14337210.09,592529541.16,308592620.53,283936920.63,22.48,52.08
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,2015,61043824.08,52395958.2,8647865.88,615118340.4,358675587.53,256442752.87,14.17,58.31
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2024,27257935.72,24115242.34,3142693.39,274083752.69,131059355.27,143024397.42,11.53,47.82
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2023,26128687.39,22905753.13,3222934.26,227313998.29,100250992.31,127063005.97,12.33,44.1
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2022,25046221.82,22493346.1,2552875.72,353394086.37,200767942.96,152626143.41,10.19,56.81
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2021,24008600.9,19363347.17,4645253.73,349600148.54,149018314.83,200581833.71,19.35,42.63
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2020,23013966.79,18674068.86,4339897.93,205205375.48,89758856.49,115446518.99,18.86,43.74
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2019,22060538.62,19128231.07,2932307.55,242126365.5,138273390.6,103852974.9,13.29,57.11
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2018,21146609.31,18023354.56,3123254.75,310661966.41,130518882.37,180143084.04,14.77,42.01
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2017,20270542.48,16915620.42,3354922.06,287535816.85,161102338.63,126433478.22,16.55,56.03
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2016,19430769.55,15473700.16,3957069.39,248780998.81,104144025.09,144636973.72,20.36,41.86
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,2015,18625786.94,15364810.01,3260976.93,224259923.86,95904788.55,128355135.31,17.51,42.77
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2024,75027793.87,65643440.92,9384352.94,886905821.08,467127675.91,419778145.16,12.51,52.67
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2023,73638447.21,65723060.37,7915386.84,810247172.04,405905156.74,404342015.3,10.75,50.1
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2022,72274828.14,63267267.78,9007560.35,830841114.78,403581699.98,427259414.8,12.46,48.58
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2021,70936460.24,63467814.89,7468645.35,778461371.65,447116988.4,331344383.25,10.53,57.44
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2020,69622875.91,56871988.52,12750887.39,639943884.85,367059640.89,272884243.96,18.31,57.36
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2019,68333616.22,59354799.04,8978817.19,928032257.0,425754213.58,502278043.41,13.14,45.88
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2018,67068230.74,54895247.3,12172983.44,617185775.06,324416543.01,292769232.06,18.15,52.56
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2017,65826277.35,57925426.98,7900850.38,885956621.12,489839870.38,396116750.74,12.0,55.29
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2016,64607322.17,50710101.76,13897220.4,928233336.38,555546614.99,372686721.39,21.51,59.85
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,2015,63410939.3,56097142.08,7313797.22,816089625.3,361435423.11,454654202.19,11.53,44.29
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2024,880122754.54,764780611.48,115342143.06,9168159490.48,4438440027.15,4729719463.32,13.11,48.41
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2023,851662073.76,691362984.14,160299089.62,10770801862.47,6252040483.53,4518761378.94,18.82,58.05
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2022,824121730.9,677992804.1,146128926.81,11740497415.46,5563596698.75,6176900716.71,17.73,47.39
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2021,797471964.85,622623050.07,174848914.78,7924528428.61,3909917013.32,4014611415.29,21.93,49.34
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2020,771683976.86,681345181.69,90338795.17,11155592556.75,4903938004.77,6251654551.98,11.71,43.96
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2019,746729899.47,583357158.36,163372741.11,9426969552.08,5579772186.85,3847197365.23,21.88,59.19
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2018,722582766.37,587170694.83,135412071.55,8558292832.93,4343830463.44,4214462369.5,18.74,50.76
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2017,699216483.27,548114728.34,151101754.92,7336325702.54,3767099292.07,3569226410.47,21.61,51.35
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2016,676605799.67,582427939.11,94177860.56,6809343644.59,2985285124.13,3824058520.46,13.92,43.84
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,2015,654726281.64,529276057.6,125450224.04,8698743685.62,4757277885.66,3941465799.96,19.16,54.69
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2024,1438925.48,1202732.45,236193.03,18203765.32,9250650.63,8953114.7,16.41,50.82
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2023,1381261.02,1140713.2,240547.82,18948658.58,7802665.07,11145993.52,17.42,41.18
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2022,1325907.44,1185120.34,140787.1,18965480.41,10867825.65,8097654.77,10.62,57.3
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2021,1272772.13,1027541.3,245230.83,17503563.98,9114813.79,8388750.2,19.27,52.07
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2020,1221766.21,929819.38,291946.83,15173672.9,6309822.74,8863850.17,23.9,41.58
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2019,1172804.33,918484.7,254319.64,13794171.43,5545345.19,8248826.24,21.68,40.2
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2018,1125804.59,956676.57,169128.02,11270040.18,6289135.99,4980904.19,15.02,55.8
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2017,1080688.34,881895.77,198792.57,12694377.16,6977694.58,5716682.58,18.39,54.97
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2016,1037380.11,828215.16,209164.95,12758592.59,5975125.82,6783466.78,20.16,46.83
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,2015,995807.45,876936.39,118871.05,13100851.51,7050009.45,6050842.06,11.94,53.81
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2024,1661216990.55,1396048517.77,265168472.77,16167625598.51,9526443638.29,6641181960.22,15.96,58.92
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2023,1605972544.4,1266226969.43,339745574.97,20046432202.46,8410685684.43,11635746518.03,21.16,41.96
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2022,1552565274.77,1302881059.58,249684215.19,13172904874.11,6730553154.25,6442351719.86,16.08,51.09
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2021,1500934085.59,1221494120.36,279439965.23,14348464084.08,6964216844.28,7384247239.8,18.62,48.54
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2020,1451019912.59,1239324416.75,211695495.83,14615535859.8,8632342504.65,5983193355.15,14.59,59.06
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2019,1402765655.7,1088885022.68,313880633.02,18200285857.02,9119824731.48,9080461125.54,22.38,50.11
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2018,1356116113.73,1173031495.84,183084617.89,15060513278.87,7210515869.03,7849997409.84,13.5,47.88
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2017,1311017921.24,1147871473.3,163146447.94,19405505648.18,11640328797.36,7765176850.82,12.44,59.98
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2016,1267419487.47,1074302451.56,193117035.91,18871289031.41,9711981069.0,9159307962.42,15.24,51.46
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,2015,1225270937.33,983952754.75,241318182.58,15717550140.34,7119189405.73,8598360734.61,19.7,45.29
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2024,91252970.16,77232155.09,14020815.07,742032229.27,432909740.48,309122488.79,15.36,58.34
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2023,88377406.69,66633905.66,21743501.02,986682018.11,474984436.75,511697581.36,24.6,48.14
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2022,85592457.96,76682064.51,8910393.45,947883585.15,383222650.46,564660934.69,10.41,40.43
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2021,82895268.54,71928572.54,10966696.0,807056608.88,377922504.87,429134104.01,13.23,46.83
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2020,80283072.95,61575814.37,18707258.58,823881308.44,489447750.48,334433557.95,23.3,59.41
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2019,77753192.86,61458961.36,16294231.5,1078472768.28,576491121.47,501981646.81,20.96,53.45
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2018,75303034.35,61636617.82,13666416.53,988174184.11,495687302.95,492486881.15,18.15,50.16
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2017,72930085.23,57178405.89,15751679.34,1015610781.37,596130608.94,419480172.43,21.6,58.7
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2016,70631912.48,55955864.87,14676047.61,587241909.37,244545268.64,342696640.73,20.78,41.64
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,2015,68406159.75,55123229.47,13282930.28,672841156.27,285882090.95,386959065.33,19.42,42.49
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2024,124997632.35,102463212.13,22534420.22,1346056560.28,734451595.37,611604964.91,18.03,54.56
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2023,122206049.84,102933820.48,19272229.35,1452654271.05,841922997.86,610731273.19,15.77,57.96
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2022,119476811.97,98121712.4,21355099.57,1011141045.39,544015981.58,467125063.81,17.87,53.8
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2021,116808526.39,101073779.09,15734747.3,1734020241.61,808015079.3,926005162.31,13.47,46.6
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2020,114199831.87,96189444.66,18010387.2,1461058683.25,701771353.94,759287329.31,15.77,48.03
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2019,111649397.53,89745557.74,21903839.78,1200529337.92,606323337.4,594206000.52,19.62,50.5
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2018,109155922.25,97355715.52,11800206.74,1580190456.77,891823661.09,688366795.68,10.81,56.44
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2017,106718133.97,85409022.81,21309111.16,1433343983.19,724562078.66,708781904.53,19.97,50.55
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2016,104334789.01,82949390.87,21385398.14,926524911.54,503884106.23,422640805.31,20.5,54.38
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,2015,102004671.5,89805132.59,12199538.91,1023225185.75,413688146.44,609537039.31,11.96,40.43
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2024,369289401.76,321516864.57,47772537.19,3710689912.61,2201860875.39,1508829037.22,12.94,59.34
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2023,365395852.9,281137312.74,84258540.16,3913167286.91,1912693504.28,2000473782.62,23.06,48.88
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2022,361543355.09,316205339.18,45338015.91,3025788305.77,1456674896.75,1569113409.03,12.54,48.14
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2021,357731475.54,278134019.12,79597456.41,3755841151.58,1611634806.51,2144206345.07,22.25,42.91
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2020,353959785.98,297414832.04,56544953.94,4362864563.22,2507439727.14,1855424836.07,15.97,57.47
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2019,350227862.67,291834989.03,58392873.65,5143009041.41,2211175612.29,2931833429.13,16.67,42.99
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2018,346535286.36,263568162.22,82967124.14,3132842497.98,1836529907.42,1296312590.56,23.94,58.62
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2017,342881642.18,272585228.01,70296414.17,4779141466.7,2097711137.66,2681430329.04,20.5,43.89
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2016,339266519.67,284688458.61,54578061.06,4058291671.68,1917341297.41,2140950374.27,16.09,47.25
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,2015,335689512.68,283253309.07,52436203.61,4198809155.86,2354767363.11,1844041792.75,15.62,56.08
34735680-0ad7-4c7b-927e-09ef4136d825,North MO Municipal Water District,MO,2024,641603148.53,548283081.88,93320066.65,7815968407.59,3419193061.77,4396775345.82,14.54,43.75
34735680-0ad7-4c7b-927e-09ef4136d825,North MO Municipal Water District,MO,2023,630519121.91,496883124.5,133635997.41,6918212771.1,3298414509.47,3619798261.63,21.19,47.68
34735680-0ad7-4c7b-927e-09ef4136d825,North MO Municipal Water District,MO,2022,619626577.59,494644695.92,124981881.67,5098513767.09,2971323548.15,2127190218.95,20.17,58.28
34735680-0ad7-4c7b-927e-09ef4136d825,North MO Municipal Water District,MO,2021,608922207.61,462127246.79,146794960.82,8970836573.13,5015439341.16,3955397231.97,24.11,55.91
